user,label,num_classes,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
1,attention,5,0.9744010931503663,0.9706292071639492,0.9702633313365363,0.9706292071639492,0.9704435704900272,0.9744010931503663
1,interest,5,0.9808553320153506,0.9848638691484135,0.9847166992355139,0.9848638691484135,0.9847805186227495,0.9808553320153506
1,effort,5,0.9764943598092801,0.9724662617513351,0.9725471018025751,0.9724662617513351,0.9725039224471148,0.9764943598092801
2,attention,4,0.9892924694643029,0.9774155971130065,0.9807732037129356,0.9774155971130065,0.9790815210593322,0.9892924694643029
2,interest,5,0.9933879396018337,0.9911111962072028,0.9908702131751139,0.9911111962072028,0.9909903410151883,0.9933879396018337
2,effort,5,0.9923380245567915,0.9924257501083936,0.9921656039876776,0.9924257501083936,0.9922943385639307,0.9923380245567915
3,attention,5,0.986008874518437,0.9805632817436389,0.9811826121479263,0.9805632817436389,0.9808724075842781,0.986008874518437
3,interest,5,0.983016304347826,0.9820324700836371,0.9802322385360188,0.9820324700836371,0.9811263726404263,0.983016304347826
3,effort,5,0.9843148046230049,0.985136763070661,0.9842805995074746,0.985136763070661,0.9847056027371434,0.9843148046230049
6,attention,3,0.9887781093079107,0.9884811063835732,0.9878262436815114,0.9884811063835732,0.9881526208954124,0.9887781093079107
6,interest,3,0.9868277417946292,0.9852662677237632,0.9860287118573764,0.9852662677237632,0.9856454540516554,0.9868277417946292
6,effort,5,0.9898187904810422,0.9908701150688971,0.9902109030136547,0.9908701150688971,0.9905380923031849,0.9898187904810422
7,attention,4,0.9839880841556508,0.9823233408601084,0.974049219254965,0.9823233408601084,0.9780900161751672,0.9839880841556508
7,interest,4,0.975609756097561,0.9381006130120504,0.8264850701226045,0.9381006130120504,0.8613579954440371,0.975609756097561
7,effort,4,0.9803574753304785,0.9788444925848397,0.9782428319348945,0.9788444925848397,0.978541075073451,0.9803574753304785
8,attention,5,0.9915211829861404,0.9880805794956238,0.9883077042730075,0.9880805794956238,0.9881935812939755,0.9915211829861404
8,interest,5,0.9913637513704985,0.9889282126514347,0.9903479201916119,0.9889282126514347,0.9896343950652552,0.9913637513704985
8,effort,5,0.9933372691237243,0.9919116006469825,0.9922023929412486,0.9919116006469825,0.9920558875561944,0.9933372691237243
9,attention,5,0.9822080654123998,0.9802822853419262,0.9784726271826949,0.9802822853419262,0.9793648217339751,0.9822080654123998
9,interest,5,0.9840388584583631,0.9823481367945025,0.9827175538312247,0.9823481367945025,0.9825234718260246,0.9840388584583631
9,effort,5,0.9805161943319838,0.9803801445237961,0.980012810203179,0.9803801445237961,0.980186240139569,0.9805161943319838
10,attention,4,0.9970215151727522,0.9974052381217086,0.9974090730503964,0.9974052381217086,0.9974071504863461,0.9970215151727522
10,interest,4,0.9975471301422665,0.9971501301986008,0.997136471365691,0.9971501301986008,0.9971431438965688,0.9975471301422665
10,effort,4,0.9961805312215292,0.9944787655296894,0.9947534910978331,0.9944787655296894,0.9946159477387563,0.9961805312215292
11,attention,5,0.9938683662065424,0.993972868935562,0.993846173443093,0.993972868935562,0.9939092076933068,0.9938683662065424
11,interest,5,0.9941704171323286,0.99374568562154,0.9935451364207004,0.99374568562154,0.9936446946528813,0.9941704171323286
11,effort,5,0.9933548796327061,0.9903184275384401,0.9893532428384724,0.9903184275384401,0.9898349115522963,0.9933548796327061
12,attention,2,0.99494154676259,0.993025285188237,0.9947165989964024,0.993025285188237,0.9938660676276158,0.99494154676259
