model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
shallow,1,attention,100,120,34.0164635181427,5,683,,,True,multi,0.3062325817883521,0.26772376676295256,0.20307543860281319,0.2281745609012467,0.18895256154329482,0.3062325817883521
shallow,1,interest,100,120,26.538203716278076,5,683,,,True,multi,0.37648855874294,0.26751207729468596,0.1765470439118607,0.26403985507246375,0.20024835337471059,0.37648855874294
shallow,1,effort,100,120,35.8255558013916,5,683,,,True,multi,0.25319643982740725,0.2100644777499919,0.11971124509473044,0.20559639264360893,0.14234828410879688,0.25319643982740725
shallow,2,attention,100,120,43.35414791107178,4,1262,,,True,multi,0.1467193872161067,0.20778986227099436,0.10755331019796764,0.20654978290591497,0.1247910328937968,0.1467193872161067
shallow,2,interest,100,120,49.00895094871521,5,1262,,,True,multi,0.34094723955847045,0.2674567312143698,0.2243788829031101,0.25325218575982433,0.21913627965100413,0.34094723955847045
shallow,2,effort,100,120,55.01555562019348,5,1262,,,True,multi,0.23605609786536177,0.23806728920180742,0.12662709389651414,0.23341382385527276,0.11777799503413591,0.23605609786536177
shallow,3,attention,100,120,69.4894711971283,5,1174,,,True,multi,0.3851485010395646,0.27092908814202793,0.2006558874360751,0.27092908814202793,0.21819131031488256,0.3851485010395646
shallow,3,interest,100,120,53.162328004837036,5,1174,,,True,multi,0.2655786718542979,0.2837061027383608,0.12899590823311058,0.27681799085024894,0.16696992144325276,0.2655786718542979
shallow,3,effort,100,120,57.7548725605011,5,1174,,,True,multi,0.19128867791842474,0.21180272108843537,0.07453905673658193,0.21180272108843537,0.09774127504426311,0.19128867791842474
shallow,6,attention,100,120,67.07807064056396,3,1391,,,True,multi,0.47439377481194017,0.4353662218666162,0.2977039791151077,0.4353662218666162,0.3327809005426853,0.47439377481194017
