user,label,n_epochs,window_size,duration,num_classes,size,RMSE,R2
cross,attention,,,22.36932110786438,5,2560509,1.3902269197921235,-0.4905690978549506
cross,interest,,,22.42281746864319,5,2560509,1.4259683149490443,-0.3415108139872064
cross,effort,,,22.90115785598755,5,2560509,1.2286836434402126,-0.16609975858837203
