user,label,num_classes,duration,order,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
1,attention,5,6.213582992553711,3,85991,0.33392433926330983,0.33637282581950323,0.317130134245285,0.3049107183599916,0.2714160323143794,0.33392433926330983
1,interest,5,6.1385817527771,3,85991,0.22321092318896785,0.18168464286531136,0.19068415143991735,0.12155988328424376,0.11618686698482839,0.22321092318896785
1,effort,5,6.400830030441284,3,85991,0.25499871380237354,0.20190901744309775,0.13586661134817243,0.1615272139544782,0.1344328411709732,0.25499871380237354
2,attention,4,7.215346336364746,3,155966,0.22539124026713334,0.22149020610657305,0.2471026700565385,0.2115473058820124,0.19255923678994827,0.22539124026713334
2,interest,5,9.68194842338562,3,155966,0.3519600873826235,0.34328288320515804,0.266556853184088,0.2548456371763435,0.21912859246659694,0.3519600873826235
2,effort,5,10.126039266586304,3,155966,0.18698784044519165,0.16881924639342943,0.14832554243380514,0.16613318353748516,0.12373203016180807,0.18698784044519165
3,attention,5,9.252575159072876,3,145361,0.3442605686380481,0.257819471071086,0.23441249043243434,0.2353617559444654,0.21535723260428252,0.3442605686380481
3,interest,5,9.316288232803345,3,145361,0.33207041663660986,0.3188835969460265,0.3024938190991248,0.2938413194766782,0.270658521942888,0.33207041663660986
3,effort,5,9.302201509475708,3,145361,0.2366488608132192,0.2144135292400954,0.2420428775474867,0.2144135292400954,0.19806760138436746,0.2366488608132192
6,attention,3,6.392259120941162,3,171763,0.41846308618665146,0.3392159148333984,0.3590636836759568,0.3392159148333984,0.3134347252765543,0.41846308618665146
6,interest,3,6.368642807006836,3,171763,0.4964842283349963,0.5019822410302214,0.5105921614158919,0.5019822410302214,0.45965598073958425,0.4964842283349963
6,effort,5,10.899821043014526,3,171763,0.24167608685142028,0.2437897973235846,0.20761700661668536,0.19346904777949944,0.1480449917919307,0.24167608685142028
7,attention,4,8.065743684768677,3,174558,0.3953469038576928,0.34273129735394375,0.23283776976983056,0.2432238161012179,0.22188942836388637,0.3953469038576928
7,interest,4,7.900308609008789,3,174558,0.4962158417698886,0.3980271371395306,0.2868401586272228,0.293320896032489,0.2611385217927496,0.4962158417698886
7,effort,4,9.077970266342163,3,174558,0.4054837405953916,0.3485325164207043,0.29038165212425254,0.2627170386303443,0.2172881339379679,0.4054837405953916
8,attention,5,13.58033537864685,3,222319,0.28291139971739365,0.1986294754974422,0.1691637815003616,0.15849111570338287,0.14111325369963396,0.28291139971739365
8,interest,5,13.761931419372559,3,222319,0.26834336449960183,0.2591597729553219,0.19256008487296228,0.20308616266717294,0.17450409042508114,0.26834336449960183
8,effort,5,13.649093627929688,3,222319,0.2083350789289576,0.20740380161166055,0.19239061791677553,0.19781245495666613,0.17729748988338773,0.2083350789289576
9,attention,5,14.899661779403687,3,251940,0.24452300803083854,0.198508353919952,0.17360325570551635,0.18134219563144532,0.16359724038589402,0.24452300803083854
9,interest,5,15.110429048538208,3,251940,0.20996918719373214,0.16795917810786576,0.15260305360801174,0.15109615318902692,0.13285767587835803,0.20996918719373214
9,effort,5,15.187922716140747,3,251940,0.3863282135261425,0.275282118245012,0.1836299822877879,0.2275408021321354,0.18469653231111463,0.3863282135261425
10,attention,4,3.1339573860168457,3,35673,0.1402108419017522,0.20879971470670228,0.2606767650408061,0.13298802990566258,0.10650723975512263,0.1402108419017522
10,interest,4,3.070044755935669,3,35673,0.1196656871498227,0.1255472855018654,0.2841558129982852,0.08168206598476102,0.0890117234930233,0.1196656871498227
10,effort,4,3.065983772277832,3,35673,0.2850361342043006,0.3101711196092613,0.3076145295507657,0.2101027231167362,0.18638518431667978,0.2850361342043006
11,attention,5,6.318572759628296,3,82768,0.07234150158232677,0.06101880891055069,0.0743309546275818,0.04209972392367165,0.04476397817606,0.07234150158232677
11,interest,5,6.361011981964111,3,82768,0.1293043910038019,0.14735500720568762,0.12092436515428054,0.10478750243612048,0.08430307200760406,0.1293043910038019
11,effort,5,6.217334747314453,3,82768,0.2950945785391283,0.2914262976476196,0.20593453936552097,0.20974078328704038,0.1770673016174848,0.2950945785391283
12,attention,2,0.6228582859039307,3,11120,0.4032853533951136,0.35985730511901154,0.4014333598017811,0.3390399360257804,0.3263862080657981,0.4032853533951136
12,interest,4,1.974928379058838,3,11120,0.38013880376028797,0.3309927899543187,0.24412869442348248,0.14308796890049108,0.1469891044788994,0.38013880376028797
12,effort,4,1.9295120239257812,3,11120,0.2038835061441266,0.26333243899704784,0.3916378266632464,0.19526006339297167,0.15470713126719138,0.2038835061441266
17,attention,3,4.346548318862915,3,107552,0.5276876525241901,0.4600293227832196,0.48906293491875213,0.4600293227832196,0.43765081525020183,0.5276876525241901
17,interest,3,4.375307321548462,3,107552,0.5353985704814083,0.4669285762471739,0.4651678760018223,0.43108402982717486,0.4028180179873173,0.5353985704814083
17,effort,3,4.58886456489563,3,107552,0.564026295616092,0.4592144352732429,0.3384063901389094,0.34609188715060873,0.31277603104413626,0.564026295616092
18,attention,5,11.171452760696411,3,177374,0.18950957680823513,0.15114785230828415,0.18941133160165288,0.11051124695300371,0.10237418560314426,0.18950957680823513
18,interest,5,10.619324445724487,3,177374,0.2537942502851454,0.19640531661409044,0.14803574174650858,0.13464336109864553,0.130419506310876,0.2537942502851454
18,effort,3,6.701823949813843,3,177374,0.4038936325212402,0.3280079077827659,0.32075796479707397,0.2829704040960716,0.24037009904187384,0.4038936325212402
19,attention,4,3.4284515380859375,3,48850,0.5265693647809245,0.4155304120133014,0.2999425001731882,0.2830307177715679,0.2291887456982205,0.5265693647809245
19,interest,5,4.300208568572998,3,48850,0.4991003190422765,0.3701213515977816,0.2839047293832235,0.2390208025290265,0.21903561853500353,0.4991003190422765
19,effort,3,2.823087692260742,3,48850,0.5187612366294154,0.49455692574688703,0.4052521520790079,0.46409915732693907,0.35812184247642975,0.5187612366294154
20,attention,5,9.049357652664185,3,142794,0.31991307933573,0.22079165894146904,0.19083708441761943,0.1766333271531752,0.17336920249812576,0.31991307933573
20,interest,5,8.909237623214722,3,142794,0.30307731519601966,0.26589260831994943,0.2625639458258028,0.1956546357808092,0.18760800908096115,0.30307731519601966
20,effort,5,8.968668937683105,3,142794,0.17211446840938685,0.15992904907029426,0.1616762737747859,0.15551724639962478,0.1354280927609363,0.17211446840938685
22,attention,4,7.122748613357544,3,138960,0.33243236571335105,0.2675177172828655,0.21357305902557208,0.22579013578610221,0.20242965887874814,0.33243236571335105
22,interest,5,8.353793144226074,3,138960,0.3307609120357002,0.23447591841266963,0.22250544057916272,0.21459789312252134,0.17070421704089053,0.3307609120357002
22,effort,4,6.548619985580444,3,138960,0.26959126532721145,0.23846782080157786,0.1582204428685007,0.1731566138675581,0.153605667665141,0.26959126532721145
23,attention,5,14.617721557617188,3,236532,0.2667164145529529,0.2470774094993491,0.2020903637950547,0.19532231169145248,0.17862945091346236,0.2667164145529529
23,interest,5,14.647057056427002,3,236532,0.2009786971991236,0.18573654800507328,0.11483298876571635,0.1408156465044604,0.10622874700388443,0.2009786971991236
23,effort,5,13.70405650138855,3,236532,0.409388492265112,0.32549446379385344,0.26270566001557494,0.26888543601409776,0.2313144438952684,0.409388492265112
24,attention,5,6.8704917430877686,3,109652,0.4020621516787607,0.27317663279735926,0.20672239489782998,0.1817424184913848,0.17976378066121662,0.4020621516787607
24,interest,5,7.418575286865234,3,109652,0.25046500398170213,0.24836601535910496,0.1913966958731371,0.20895061020715477,0.15773321253270836,0.25046500398170213
24,effort,5,6.906250238418579,3,109652,0.3032997600769434,0.2992558263418267,0.19451881861957418,0.21381470969581948,0.17773592666086244,0.3032997600769434
25,attention,4,13.012592315673828,3,261336,0.292258907622786,0.2860686671164153,0.27921744100640755,0.23071514573502272,0.17976425404707058,0.292258907622786
25,interest,5,15.766683101654053,3,261336,0.29808019317459367,0.22786891820772887,0.21329338206875312,0.16180583086531436,0.13452971753236412,0.29808019317459367
25,effort,4,12.887033700942993,3,261336,0.4901514380686788,0.3467970608727482,0.23805591272996224,0.23096640977589775,0.20766099094461818,0.4901514380686788
1,attention,5,6.19991135597229,4,85991,0.32422489792874976,0.32797011040215673,0.28207166410635054,0.29041143214198983,0.24513801033893245,0.3242248979287497
1,interest,5,6.016001462936401,4,85991,0.28839914410150136,0.2303328374230869,0.1928758729718802,0.1652141301637995,0.1529052132090065,0.28839914410150136
1,effort,5,6.529120922088623,4,85991,0.27088346879669173,0.2219066746434053,0.1654735794703911,0.17752533971472423,0.1561930330022296,0.27088346879669173
2,attention,4,7.081077337265015,4,155966,0.28498281378718326,0.2805696795746646,0.3174773716678748,0.26611935265368086,0.24771125450583548,0.28498281378718326
2,interest,5,9.477635383605957,4,155966,0.2795135952020656,0.2654163734311387,0.18133041695268695,0.18538290502889335,0.16545406935180904,0.2795135952020656
