user,label,num_classes,duration,order,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
25,attention,5,143.3028519153595,2,2560509,0.20199323390063534,0.17370244973468987,0.17747051711365258,0.17370244973468987,0.15454731124199278,0.20199323390063534
25,interest,5,141.23021507263184,2,2560509,0.21423328424918422,0.18930019428671396,0.19517582830866032,0.18930019428671396,0.16403003400762572,0.21423328424918422
25,effort,5,149.25641322135925,2,2560509,0.32274462668571136,0.19657452527317595,0.18499222584981403,0.19657452527317595,0.15376989413352343,0.32274462668571136
25,attention,5,140.871173620224,3,2560509,0.19965909977954366,0.1694137713919252,0.21427517644566688,0.1694137713919252,0.15263395965887253,0.19965909977954366
25,interest,5,139.84890413284302,3,2560509,0.20767907586346884,0.1898084234656776,0.18965687728119723,0.1898084234656776,0.1628310686634414,0.20767907586346884
25,effort,5,139.67419242858887,3,2560509,0.3268463032100093,0.1938690596716499,0.16784491939888277,0.1938690596716499,0.1454391935178184,0.3268463032100093
25,attention,5,140.24765849113464,4,2560509,0.21550648315943866,0.17728986735098076,0.21822354168373653,0.17728986735098076,0.15787135092697877,0.21550648315943866
25,interest,5,140.21889925003052,4,2560509,0.21150484097430797,0.19900421972803703,0.21128382383853955,0.19900421972803703,0.16834637407241346,0.21150484097430797
25,effort,5,139.54335713386536,4,2560509,0.33504370069770356,0.19893826243573182,0.1822673988878861,0.19893826243573182,0.14790138843898407,0.33504370069770356
25,attention,5,152.45137977600098,5,2560509,0.20176359988448506,0.16270808468341696,0.1735382071490197,0.16270808468341696,0.13445195829909037,0.20176359988448506
25,interest,5,151.57959699630737,5,2560509,0.2032092980575116,0.17150704221762325,0.1805598195553429,0.17150704221762325,0.14400462103791462,0.2032092980575116
25,effort,5,145.7519190311432,5,2560509,0.32860887319299426,0.19655759346408933,0.19467672255094984,0.19655759346408933,0.13583204072662167,0.32860887319299426
25,attention,5,149.87472558021545,6,2560509,0.21474439308435636,0.17493403475480213,0.19649315081252644,0.17493403475480213,0.14908080003803797,0.21474439308435636
25,interest,5,150.2149679660797,6,2560509,0.18709849366904355,0.16756633798272252,0.16794392536977626,0.16756633798272252,0.12687548233689577,0.18709849366904355
25,effort,5,152.07308435440063,6,2560509,0.33168806941888196,0.1883711952186034,0.15824498789896552,0.1883711952186034,0.12287198824124856,0.33168806941888196
