user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
all,attention,10,120,74.91127896308899,5,20751,0.27975132783445805,0.21887222199364217,0.1981607952317802,0.21887222199364217,0.17264509155453425,0.27975132783445805
all,interest,10,120,60.307111501693726,5,20751,0.21251600902591844,0.19104652170470518,0.1632881430059248,0.19104652170470518,0.14803551366949166,0.21251600902591844
all,effort,10,120,69.35933923721313,5,20751,0.33990057658254735,0.20434753114363619,0.18991260806292923,0.20434753114363619,0.15943571586437277,0.33990057658254735
