model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,1,attention,100,120,82.14446067810059,5,16227,30,0.02,False,multi,0.39489596191011733,0.25435548121837576,0.17544050358798527,0.2369721888350834,0.16664327675387994,0.39489596191011733
Hybrid,1,interest,100,120,72.01172399520874,5,16227,30,0.02,False,multi,0.38669662236140473,0.32200157167034194,0.16279009651211143,0.2813059291553329,0.18832944348978775,0.38669662236140473
Hybrid,1,effort,100,120,121.20608377456665,5,16227,30,0.02,False,multi,0.30630067362074404,0.2429468995586447,0.16132979327358943,0.2429468995586447,0.15419340598179598,0.30630067362074404
Hybrid,2,attention,100,120,144.82246565818787,4,32176,30,0.02,False,multi,0.23317673403587882,0.3538900259211025,0.3109720063111857,0.3538900259211025,0.1641322911913618,0.23317673403587882
Hybrid,2,interest,100,120,144.55901885032654,5,32176,30,0.02,False,multi,0.3184497483768686,0.2844125701829761,0.22634773966850638,0.26437744885475134,0.20149387137099475,0.3184497483768686
Hybrid,2,effort,100,120,168.47286915779114,5,32176,30,0.02,False,multi,0.3047247966193241,0.24333167414712728,0.18964019913361646,0.2340113183827373,0.13432296504840074,0.3047247966193241
Hybrid,3,attention,100,120,209.79561924934387,5,31508,30,0.02,False,multi,0.3268791977516867,0.26592387557774444,0.25554461330509887,0.26592387557774444,0.20368357110661456,0.3268791977516867
Hybrid,3,interest,100,120,179.3474259376526,5,31508,30,0.02,False,multi,0.29535353477445525,0.32670071259215294,0.19583955293415442,0.32670071259215294,0.20213665032418096,0.29535353477445525
Hybrid,3,effort,100,120,218.3974416255951,5,31508,30,0.02,False,multi,0.28171132590350395,0.21003968350059118,0.15949306344493833,0.21003968350059118,0.12916448779514736,0.28171132590350395
Hybrid,6,attention,100,120,206.64245557785034,3,34596,30,0.02,False,multi,0.44718589237625306,0.3799335200052113,0.36541213009210416,0.3799335200052113,0.3069693578919825,0.44718589237625306
Hybrid,6,interest,100,120,200.737895488739,3,34596,30,0.02,False,multi,0.5051112577782575,0.33315157416423236,0.19098441773038335,0.33315157416423236,0.22045661834928154,0.5051112577782575
Hybrid,6,effort,100,120,203.77652287483215,5,34596,30,0.02,False,multi,0.3004765280163345,0.27899251389088153,0.2072984245102673,0.27899251389088153,0.20098680779142467,0.3004765280163345
Hybrid,7,attention,100,120,170.79355645179749,4,33896,30,0.02,False,multi,0.5230640249661989,0.3851115046053984,0.3771870719729253,0.3851115046053984,0.33714811043256737,0.5230640249661989
Hybrid,7,interest,100,120,206.09621119499207,4,33896,30,0.02,False,multi,0.6065115491745926,0.5145763235577209,0.5133425790162078,0.5145763235577209,0.49460402994803,0.6065115491745926
Hybrid,7,effort,100,120,269.48972821235657,4,33896,30,0.02,False,multi,0.47598436935940847,0.33607602250607616,0.22223723092929157,0.3160794425850489,0.24272103186407476,0.47598436935940847
Hybrid,8,attention,100,120,246.2275674343109,5,47493,30,0.02,False,multi,0.4009910843596174,0.2530986036988757,0.16356749050651492,0.23712184262407546,0.1717265098288943,0.4009910843596174
Hybrid,8,interest,100,120,278.248286485672,5,47493,30,0.02,False,multi,0.37162123175973744,0.31330129078269026,0.220453407194029,0.2527455311671961,0.2121046440899333,0.37162123175973744
Hybrid,8,effort,100,120,282.2654802799225,5,47493,30,0.02,False,multi,0.19412966926030575,0.12626309206130712,0.1939853623542452,0.10682475262296767,0.09984083582346759,0.19412966926030575
Hybrid,9,attention,100,120,274.8956515789032,5,52149,30,0.02,False,multi,0.28154071239579903,0.25567146641439054,0.24280874687714485,0.25567146641439054,0.14989725284259653,0.28154071239579903
Hybrid,9,interest,100,120,279.80145716667175,5,52149,30,0.02,False,multi,0.24338844452258104,0.23315410610723655,0.16255778647870156,0.23315410610723655,0.13521574339683132,0.24338844452258104
Hybrid,9,effort,100,120,280.97025871276855,5,52149,30,0.02,False,multi,0.46239262764196704,0.24597944951564682,0.16581111624192646,0.24597944951564682,0.18165356756454468,0.46239262764196704
Hybrid,10,attention,100,120,47.967273473739624,4,6900,30,0.02,False,multi,0.18321115572957974,0.2628086673674909,0.26941532258064516,0.18732418453006688,0.14974839258196504,0.18321115572957974
Hybrid,10,interest,100,120,41.88531470298767,4,6900,30,0.02,False,multi,0.23420518985619018,0.21271259383707103,0.16382397526073247,0.14312734038084984,0.13999061639656693,0.23420518985619018
Hybrid,10,effort,100,120,49.04107856750488,4,6900,30,0.02,False,multi,0.3807405431703238,0.4585714285714285,0.2202387916147507,0.33686507936507937,0.23637067562067565,0.3807405431703238
