model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,1,attention,100,120,102.40344023704529,5,16227,30,0.2,False,multi,0.37063135720586504,0.2613593453801488,0.13639941383281765,0.24108907510987854,0.15099254764085157,0.37063135720586504
Hybrid,1,interest,100,120,81.29597330093384,5,16227,30,0.2,False,multi,0.39445620912752366,0.3257383743528752,0.15011037231903668,0.28534142166642773,0.17760889005700475,0.39445620912752366
Hybrid,1,effort,100,120,92.63919043540955,5,16227,30,0.2,False,multi,0.33520923540835035,0.2586388628129943,0.22302413331848453,0.2586388628129943,0.19241248866029745,0.33520923540835035
Hybrid,2,attention,100,120,170.48484897613525,4,32176,30,0.2,False,multi,0.2040585513445014,0.32218518539273255,0.3086266247103524,0.32218518539273255,0.17954205860020106,0.2040585513445014
Hybrid,2,interest,100,120,132.4148986339569,5,32176,30,0.2,False,multi,0.31221521658256085,0.2644477246779735,0.18070250633685697,0.2644477246779735,0.20005031037835058,0.31221521658256085
Hybrid,2,effort,100,120,182.97045755386353,5,32176,30,0.2,False,multi,0.3066208837597819,0.23856182711294385,0.09718908630203013,0.23262123305353793,0.12864464159497555,0.3066208837597819
Hybrid,3,attention,100,120,208.46371340751648,5,31508,30,0.2,False,multi,0.31522611804154177,0.28469764467726,0.20449098639859695,0.28469764467726,0.18908803658825585,0.31522611804154177
Hybrid,3,interest,100,120,208.38420152664185,5,31508,30,0.2,False,multi,0.30462134878411706,0.35926813764130283,0.24833272625680752,0.35926813764130283,0.21847657282232502,0.30462134878411706
Hybrid,3,effort,100,120,198.021062374115,5,31508,30,0.2,False,multi,0.262368391885281,0.19971389711050974,0.1902503107028831,0.19971389711050974,0.12072314615371671,0.262368391885281
Hybrid,6,attention,100,120,251.11867213249207,3,34596,30,0.2,False,multi,0.4903522885381276,0.34105549443689753,0.26349437444643825,0.34105549443689753,0.25784315882492626,0.4903522885381276
Hybrid,6,interest,100,120,224.02115845680237,3,34596,30,0.2,False,multi,0.4655589649965418,0.3359562841530054,0.18525726847363674,0.3359562841530054,0.22691786122817317,0.4655589649965418
Hybrid,6,effort,100,120,239.40910482406616,5,34596,30,0.2,False,multi,0.33658324292100966,0.27106675775803335,0.22454437594268026,0.27106675775803335,0.1831237366321072,0.33658324292100966
Hybrid,7,attention,100,120,213.32284092903137,4,33896,30,0.2,False,multi,0.5687444043422304,0.4547191303160254,0.42263653273910323,0.4547191303160254,0.40536677637434954,0.5687444043422304
Hybrid,7,interest,100,120,173.67455339431763,4,33896,30,0.2,False,multi,0.6172868670151279,0.4965030317448691,0.5385790378391749,0.4965030317448691,0.4535244831127553,0.6172868670151279
Hybrid,7,effort,100,120,210.7275788784027,4,33896,30,0.2,False,multi,0.4939827762536552,0.33355654369784804,0.18129316965865414,0.33355654369784804,0.22084438294841094,0.4939827762536552
Hybrid,8,attention,100,120,242.65306067466736,5,47493,30,0.2,False,multi,0.3609949895411343,0.2246879150066401,0.10836615754220688,0.2163545816733068,0.13381886753328795,0.3609949895411343
Hybrid,8,interest,100,120,271.04281187057495,5,47493,30,0.2,False,multi,0.33204864471004353,0.30399829434640957,0.21624834542771243,0.24816177537303857,0.1780765402370254,0.33204864471004353
Hybrid,8,effort,100,120,237.81849431991577,5,47493,30,0.2,False,multi,0.2753440019087591,0.14994839177210367,0.07791396050625814,0.14994839177210367,0.09604873966452625,0.2753440019087591
Hybrid,9,attention,100,120,284.6370813846588,5,52149,30,0.2,False,multi,0.2043353407561419,0.23453646822148463,0.2215708266599587,0.23453646822148463,0.12143375142151633,0.2043353407561419
Hybrid,9,interest,100,120,284.53033995628357,5,52149,30,0.2,False,multi,0.2709873301627872,0.23112756760470016,0.13005095548534343,0.22352756760470016,0.12567798166262148,0.2709873301627872
Hybrid,9,effort,100,120,339.1029317378998,5,52149,30,0.2,False,multi,0.45483239111625623,0.2643475118614146,0.1766207969232909,0.2643475118614146,0.2046508931402311,0.45483239111625623
Hybrid,10,attention,100,120,47.16341948509216,4,6900,30,0.2,False,multi,0.16731734368718196,0.30837542087542086,0.17277645710829853,0.23867845117845116,0.12664666493661111,0.16731734368718196
Hybrid,10,interest,100,120,39.1665940284729,4,6900,30,0.2,False,multi,0.23740544995387802,0.20446905247207536,0.19963450527966659,0.156956678346798,0.14933507044706615,0.23740544995387802
Hybrid,10,effort,100,120,49.149428606033325,4,6900,30,0.2,False,multi,0.2900751926355019,0.295,0.12146898992448622,0.22011904761904763,0.14274594382121264,0.29007519263550186
Hybrid,11,attention,100,120,87.71862864494324,5,15343,30,0.2,False,multi,0.2669929226891252,0.2429717143890787,0.161196749899495,0.19841343540248757,0.14442925693595024,0.2669929226891252
Hybrid,11,interest,100,120,94.46368789672852,5,15343,30,0.2,False,multi,0.18064389210230633,0.20138019840246413,0.14718757851478756,0.1585051187718181,0.10397425856051383,0.18064389210230633
Hybrid,11,effort,100,120,145.68937397003174,5,15343,30,0.2,False,multi,0.4213575138588729,0.2878623719466884,0.15782080474540847,0.2500863469118894,0.1778975233613984,0.4213575138588729
Hybrid,12,attention,100,120,22.90688681602478,2,2406,30,0.2,False,multi,0.7475187969924812,0.596551724137931,0.4755542702911124,0.596551724137931,0.5201307189542483,0.7475187969924812
Hybrid,12,interest,100,120,15.800788879394531,4,2406,30,0.2,False,multi,0.24530075187969924,0.25,0.12421218487394958,0.19791666666666666,0.14645989974937343,0.24530075187969924
Hybrid,12,effort,100,120,12.737176418304443,4,2406,30,0.2,False,multi,0.2638888888888889,0.27777777777777773,0.20138888888888887,0.13888888888888887,0.16419753086419756,0.2638888888888889
Hybrid,17,attention,100,120,175.32719445228577,3,22202,30,0.2,False,multi,0.5396277125757396,0.40183550399988066,0.3765773426365011,0.40183550399988066,0.3691015265237839,0.5396277125757396
Hybrid,17,interest,100,120,203.32767057418823,3,22202,30,0.2,False,multi,0.604463636546521,0.4546681263111571,0.4463550331090942,0.4546681263111571,0.4072113099926047,0.604463636546521
Hybrid,17,effort,100,120,137.76568508148193,3,22202,30,0.2,False,multi,0.47220350676085143,0.4000792854094538,0.3449609610919487,0.3860269978277544,0.3053245646902392,0.47220350676085143
Hybrid,18,attention,100,120,190.90579080581665,5,35799,30,0.2,False,multi,0.4097752525940293,0.3391389953871594,0.21119487546330498,0.3391389953871594,0.21535619157655664,0.4097752525940293
Hybrid,18,interest,100,120,149.08408737182617,5,35799,30,0.2,False,multi,0.4024146579803992,0.3408085697366305,0.2541188387259441,0.3408085697366305,0.24245531456406924,0.4024146579803992
