model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,1,attention,100,120,29.083527088165283,5,2827,5,0.2,False,multi,0.35397059684124754,0.2566388049122088,0.17146861598960134,0.2566388049122088,0.16464651704435337,0.35397059684124754
Hybrid,1,interest,100,120,22.71367883682251,5,2827,5,0.2,False,multi,0.40040898955068577,0.31981466971312167,0.1626400262865231,0.2995443994428514,0.19311638261882694,0.40040898955068577
Hybrid,1,effort,100,120,19.272778749465942,5,2827,5,0.2,False,multi,0.2749735839868829,0.22936589899948343,0.17262533137487743,0.2187665483501328,0.155339216601899,0.2749735839868829
Hybrid,2,attention,100,120,43.98455834388733,4,5526,5,0.2,False,multi,0.19091404956981467,0.2964946909522381,0.2746729369329627,0.2964946909522381,0.16335343248875933,0.19091404956981467
Hybrid,2,interest,100,120,37.19633436203003,5,5526,5,0.2,False,multi,0.37507210389742324,0.3570191861140137,0.22460378812570034,0.3570191861140137,0.2304128253344933,0.37507210389742324
Hybrid,2,effort,100,120,48.63222002983093,5,5526,5,0.2,False,multi,0.30501299278541305,0.27763857657073776,0.2239438587737325,0.26508047118392797,0.15614509039361094,0.30501299278541305
Hybrid,3,attention,100,120,36.77727246284485,5,5358,5,0.2,False,multi,0.26434150716484234,0.23220596229863175,0.181146646432301,0.23220596229863175,0.15742836883084602,0.26434150716484234
Hybrid,3,interest,100,120,47.40412425994873,5,5358,5,0.2,False,multi,0.2566139622699199,0.30420112110996345,0.16863085922158574,0.30420112110996345,0.1679504237342524,0.2566139622699199
Hybrid,3,effort,100,120,30.788773775100708,5,5358,5,0.2,False,multi,0.22898278093723884,0.1972036801299179,0.13413511939498052,0.1972036801299179,0.1111311130124226,0.22898278093723884
Hybrid,6,attention,100,120,56.773096323013306,3,5971,5,0.2,False,multi,0.4900120411094557,0.34547874875944923,0.3867492712209087,0.34547874875944923,0.2660486105638681,0.4900120411094557
Hybrid,6,interest,100,120,47.51969933509827,3,5971,5,0.2,False,multi,0.5111771002137357,0.3329474192568962,0.2543939049390842,0.3329474192568962,0.2358043275484704,0.5111771002137357
Hybrid,6,effort,100,120,45.748454332351685,5,5971,5,0.2,False,multi,0.257888017810976,0.2568885760635822,0.31199785847022066,0.2391376800062345,0.15948743147366767,0.257888017810976
Hybrid,7,attention,100,120,50.96228361129761,4,5896,5,0.2,False,multi,0.5173174936761894,0.4105851579357286,0.43803921328097883,0.4105851579357286,0.3486395449101602,0.5173174936761894
Hybrid,7,interest,100,120,55.689160108566284,4,5896,5,0.2,False,multi,0.6633192407648929,0.542631696643024,0.5263378376375157,0.542631696643024,0.5102104693407967,0.6633192407648929
Hybrid,7,effort,100,120,72.34896206855774,4,5896,5,0.2,False,multi,0.4823842672998131,0.3259485124692415,0.2711241987749081,0.3259485124692415,0.23764902109393066,0.4823842672998131
Hybrid,8,attention,100,120,56.36111545562744,5,8118,5,0.2,False,multi,0.43460184479170144,0.2621742612555741,0.1521340053280308,0.24575269262812313,0.149489478262288,0.43460184479170144
Hybrid,8,interest,100,120,68.84759378433228,5,8118,5,0.2,False,multi,0.27498959488452623,0.26479038223267815,0.24313492449720447,0.23038854258826577,0.15031330117620414,0.27498959488452623
Hybrid,8,effort,100,120,45.54626655578613,5,8118,5,0.2,False,multi,0.2919057658361141,0.16541434434292174,0.13329230627933658,0.16211275704133443,0.11189630383839684,0.29190576583611405
Hybrid,9,attention,100,120,69.32243537902832,5,8974,5,0.2,False,multi,0.22622109704987112,0.21471712856735267,0.17546700769954995,0.21471712856735267,0.0942975737559359,0.22622109704987112
Hybrid,9,interest,100,120,69.63338875770569,5,8974,5,0.2,False,multi,0.26757407794086563,0.2510941673696057,0.19626977881052146,0.24294923983337383,0.13606319457659624,0.26757407794086563
Hybrid,9,effort,100,120,73.37817239761353,5,8974,5,0.2,False,multi,0.45971837367829516,0.23581186743301935,0.15239456041889843,0.23581186743301935,0.16919705677323743,0.45971837367829516
Hybrid,10,attention,100,120,8.783162117004395,4,1200,5,0.2,False,multi,0.2650313337411047,0.27064583020465377,0.22249118270443416,0.18970681823622998,0.16235487296350273,0.2650313337411047
Hybrid,10,interest,100,120,10.124099254608154,4,1200,5,0.2,False,multi,0.3851466543188053,0.31656943353718386,0.27491485438137114,0.19828856276569848,0.21139399935310982,0.3851466543188053
Hybrid,10,effort,100,120,12.84234094619751,4,1200,5,0.2,False,multi,0.3381734264428825,0.39048868475697746,0.25415186310930993,0.3039771407454334,0.19428218216200424,0.3381734264428825
Hybrid,11,attention,100,120,22.32510209083557,5,2693,5,0.2,False,multi,0.2612530960535931,0.2268751012635299,0.2661198566985709,0.1883142004784912,0.15090927518418512,0.2612530960535931
Hybrid,11,interest,100,120,22.906867742538452,5,2693,5,0.2,False,multi,0.22602517339769806,0.280939365487964,0.17971999431448743,0.23219477149036666,0.15110421605910745,0.22602517339769806
Hybrid,11,effort,100,120,18.039459705352783,5,2693,5,0.2,False,multi,0.33401540950830383,0.2618953653554923,0.21910019821007137,0.23864242445581224,0.1608654702376145,0.33401540950830383
Hybrid,12,attention,100,120,6.4843833446502686,2,406,5,0.2,False,multi,0.7668045112781956,0.6083333333333334,0.5455234677603099,0.6083333333333334,0.5570229145676715,0.7668045112781956
Hybrid,12,interest,100,120,4.80105185508728,4,406,5,0.2,False,multi,0.3743734335839599,0.38480392156862747,0.2740079365079365,0.2479575163398693,0.20988906926406925,0.3743734335839599
Hybrid,12,effort,100,120,2.24076771736145,4,406,5,0.2,False,multi,0.3119047619047619,0.3063492063492063,0.27314814814814814,0.16058201058201058,0.192682379349046,0.3119047619047619
Hybrid,17,attention,100,120,59.93787670135498,3,3802,5,0.2,False,multi,0.5243966391450303,0.3894593644719126,0.37277657031405276,0.3894593644719126,0.341009192310396,0.5243966391450303
Hybrid,17,interest,100,120,71.31709504127502,3,3802,5,0.2,False,multi,0.5949478282584753,0.4455131383432371,0.4826627043104478,0.4455131383432371,0.38781068721485784,0.5949478282584753
Hybrid,17,effort,100,120,40.235262632369995,3,3802,5,0.2,False,multi,0.5417985245626171,0.4654446990543214,0.3134534710128419,0.4654446990543214,0.33904126251646177,0.5417985245626171
