model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,all,attention,100,120,6952.082588672638,5,859484,50,0.2,False,multi,0.24386252065455932,0.20141118749710155,0.1943135319296205,0.20141118749710155,0.15674256668348657,0.24386252065455932
Hybrid,all,interest,100,120,5800.105540752411,5,859484,50,0.2,False,multi,0.21586123035487495,0.20188333308104012,0.20400396933439008,0.20188333308104012,0.1735201899735396,0.21586123035487495
Hybrid,all,effort,100,120,4842.826354503632,5,859484,50,0.2,False,multi,0.30752562582165865,0.18601617117402075,0.19897868342531067,0.18601617117402075,0.14725716338635492,0.30752562582165865
