model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,all,attention,100,120,111.16480779647827,5,20751,5,0.2,True,0.23667675903343577,0.19877936287639839,0.2067189979708554,0.19877936287639839,0.14153284304154146,0.23667675903343577
Hybrid,all,interest,100,120,117.78942036628723,5,20751,5,0.2,True,0.2506236817202073,0.20760159469678108,0.1793115887215928,0.20760159469678108,0.1188337378187347,0.2506236817202073
Hybrid,all,effort,100,120,111.41745042800903,5,20751,5,0.2,True,0.3715000685893436,0.20087852940170775,0.1616077533260885,0.20087852940170775,0.11147914791342158,0.3715000685893436
