model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,1,attention,100,120,76.85133934020996,5,10867,20,0.001,False,multi,0.3863219571132769,0.2589026632781116,0.16594886201034775,0.23756769194314029,0.17048805463419797,0.3863219571132769
Hybrid,1,interest,100,120,51.107086420059204,5,10867,20,0.001,False,multi,0.3926877519795533,0.31959103816343803,0.16241682526368972,0.28246703063546097,0.18193503735578537,0.3926877519795533
Hybrid,1,effort,100,120,62.63484811782837,5,10867,20,0.001,False,multi,0.35608062465217744,0.2732640875795483,0.19850311114758926,0.2732640875795483,0.2100132889677712,0.35608062465217744
Hybrid,2,attention,100,120,102.16862988471985,4,21516,20,0.001,False,multi,0.25416174327663577,0.3323396529388869,0.4631048165566589,0.3323396529388869,0.2147765616303047,0.25416174327663577
Hybrid,2,interest,100,120,140.50316739082336,5,21516,20,0.001,False,multi,0.415087698701326,0.34940495496333085,0.2979325834900886,0.29254795101580966,0.2784383399938646,0.415087698701326
Hybrid,2,effort,100,120,111.80973029136658,5,21516,20,0.001,False,multi,0.3051828840020737,0.21155722086169648,0.14599214844442165,0.20294335947555786,0.11898148708543718,0.3051828840020737
Hybrid,3,attention,100,120,126.3217625617981,5,21048,20,0.001,False,multi,0.29180530713019015,0.2398674121700542,0.19374392599688645,0.2398674121700542,0.17251259502269364,0.29180530713019015
Hybrid,3,interest,100,120,124.20216917991638,5,21048,20,0.001,False,multi,0.27618572152917914,0.3118524350987534,0.2417106091343814,0.3118524350987534,0.19054534325551567,0.27618572152917914
Hybrid,3,effort,100,120,134.18739199638367,5,21048,20,0.001,False,multi,0.2686893459915612,0.2177860496554998,0.1697662313846768,0.2177860496554998,0.13863118953881642,0.2686893459915612
Hybrid,6,attention,100,120,142.61283469200134,3,23146,20,0.001,False,multi,0.5152283262056792,0.3739894393553613,0.34239853606013526,0.3739894393553613,0.3058906167019554,0.5152283262056792
Hybrid,6,interest,100,120,128.00010299682617,3,23146,20,0.001,False,multi,0.49013881990689717,0.32708860845308163,0.19818221946309267,0.32708860845308163,0.22260884332794323,0.49013881990689717
Hybrid,6,effort,100,120,181.89096355438232,5,23146,20,0.001,False,multi,0.33732343089304884,0.3131308076891009,0.24576637009990715,0.3131308076891009,0.21057992238760584,0.33732343089304884
Hybrid,7,attention,100,120,122.86151790618896,4,22696,20,0.001,False,multi,0.5101779006670312,0.453873363850141,0.44272736856318523,0.453873363850141,0.4052060495237248,0.5101779006670312
Hybrid,7,interest,100,120,111.97748351097107,4,22696,20,0.001,False,multi,0.6327996175822262,0.5125180284307871,0.5369830958656869,0.5125180284307871,0.4696548003961811,0.6327996175822262
Hybrid,7,effort,100,120,162.6472086906433,4,22696,20,0.001,False,multi,0.4965849028141802,0.3433978790281631,0.2905416057100633,0.3433978790281631,0.27544064936838314,0.4965849028141802
Hybrid,8,attention,100,120,173.0448853969574,5,31743,20,0.001,False,multi,0.4124349283935816,0.25590094074087444,0.15060836926395282,0.24123136920855784,0.1564278973824759,0.4124349283935816
Hybrid,8,interest,100,120,265.06145548820496,5,31743,20,0.001,False,multi,0.36525408869820086,0.2940381502713397,0.21198687154835527,0.23315636693933514,0.19470198536698424,0.36525408869820086
