model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,all,attention,100,120,3272.084297657013,5,517144,30,0.5,False,multi,0.2620002569640024,0.20987533785305007,0.1812339972701834,0.20987533785305007,0.1808829425869281,0.2620002569640024
Hybrid,all,interest,100,120,3326.0184409618378,5,517144,30,0.5,False,multi,0.20015292510484328,0.1888217457148828,0.17131221361295376,0.1888217457148828,0.13857357177925272,0.20015292510484328
Hybrid,all,effort,100,120,2854.926157951355,5,517144,30,0.5,False,multi,0.30081833890497683,0.18154602238027415,0.134970585002046,0.18154602238027415,0.1376913090330154,0.30081833890497683
