model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,all,attention,100,120,111.31174063682556,5,20751,5,0.2,False,0.22838944235163364,0.19322977664695706,0.17115488884465915,0.19322977664695706,0.1346815625245366,0.22838944235163364
Hybrid,all,interest,100,120,120.702392578125,5,20751,5,0.2,False,0.2767594115131184,0.2063450938158363,0.173002965656529,0.2063450938158363,0.11931553665869021,0.27675941151311834
Hybrid,all,effort,100,120,127.08523201942444,5,20751,5,0.2,False,0.36844369150609885,0.19970981959095274,0.1630140716921729,0.19970981959095274,0.11176824380565012,0.36844369150609885
