model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,all,attention,100,120,2731.805301427841,5,345974,20,0.02,False,multi,0.24005037274779822,0.21869849992799315,0.20651100015466115,0.21869849992799315,0.16451710576849296,0.24005037274779822
Hybrid,all,interest,100,120,2114.9667632579803,5,345974,20,0.02,False,multi,0.24052896347689087,0.20411055688517413,0.17524898790825233,0.20411055688517413,0.13918178328844644,0.24052896347689087
Hybrid,all,effort,100,120,2009.7201490402222,5,345974,20,0.02,False,multi,0.3232615087639411,0.18979866690422692,0.16573169632082546,0.18979866690422692,0.14430410870124874,0.3232615087639411
