model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,all,attention,100,120,3172.4491736888885,5,517144,30,0.001,False,multi,0.21701178719521003,0.2101905731203789,0.18241981192070922,0.2101905731203789,0.16562923762342288,0.21701178719521003
Hybrid,all,interest,100,120,3065.0203940868378,5,517144,30,0.001,False,multi,0.21441672378999038,0.1824342116448197,0.1786964789214403,0.1824342116448197,0.15002903145770952,0.21441672378999038
Hybrid,all,effort,100,120,3009.573486328125,5,517144,30,0.001,False,multi,0.2980363748875746,0.1866795355560726,0.18739760644758524,0.1866795355560726,0.1521937682250247,0.2980363748875746
