model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,all,attention,100,120,2831.0789465904236,5,345974,20,0.01,False,multi,0.25888706734253847,0.22239273739268697,0.20979948933452935,0.22239273739268697,0.1824865701893848,0.25888706734253847
Hybrid,all,interest,100,120,2068.723527908325,5,345974,20,0.01,False,multi,0.2410980286011613,0.2019665521336615,0.23327645995077803,0.2019665521336615,0.14781498884584274,0.2410980286011613
Hybrid,all,effort,100,120,1908.9502639770508,5,345974,20,0.01,False,multi,0.29121745951525935,0.17909854237019882,0.1687711968052125,0.17909854237019882,0.13782445118868952,0.29121745951525935
