user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
1,attention,2,120,0.6649765968322754,5,683,0.2760221180758701,0.24823134106222342,0.26391867554690995,0.24240619773708008,0.16573948504640024,0.2760221180758701
1,interest,2,120,0.4590892791748047,5,683,0.2194656781964892,0.3039819376026272,0.09367095666176702,0.27907772304324024,0.12819354272368869,0.2194656781964892
1,effort,2,120,0.7645714282989502,5,683,0.31384104773128974,0.24633965529571414,0.20069802537887646,0.24633965529571414,0.17571855326408653,0.31384104773128974
2,attention,2,120,1.1110789775848389,4,1262,0.2587702044102925,0.26558828578345484,0.2662684064603269,0.26558828578345484,0.20449576779984158,0.2587702044102925
2,interest,2,120,0.8359355926513672,5,1262,0.35312979030999103,0.3676449858320949,0.2603102870764949,0.3676449858320949,0.2813610509880193,0.35312979030999103
2,effort,2,120,1.0915768146514893,5,1262,0.18942924926367638,0.2177933871548302,0.19185862657482683,0.2177933871548302,0.12690750855963115,0.18942924926367638
3,attention,2,120,1.0139729976654053,5,1174,0.2727021290690801,0.22938298835573534,0.16152927425126423,0.22938298835573534,0.15107562796589952,0.2727021290690801
3,interest,2,120,1.0294196605682373,5,1174,0.26480458319319594,0.26938185283598776,0.16540289651333948,0.26938185283598776,0.18897877861389903,0.26480458319319594
3,effort,2,120,1.299037218093872,5,1174,0.23874009483479078,0.2181072938653072,0.1675324018067719,0.2181072938653072,0.12150701831672708,0.23874009483479078
6,attention,2,120,1.5317301750183105,3,1391,0.5015931075130753,0.3377001287238851,0.29266120096035897,0.3377001287238851,0.2509593482334239,0.5015931075130753
6,interest,2,120,1.5284614562988281,3,1391,0.4526724626696936,0.3197354075087634,0.2589484202978293,0.3197354075087634,0.2315158359431319,0.4526724626696936
6,effort,2,120,1.5289397239685059,5,1391,0.28868538778616404,0.293402656910943,0.28126198921690904,0.293402656910943,0.21581578613776245,0.28868538778616404
7,attention,2,120,1.244657039642334,4,1416,0.4186443759813325,0.3968035759912629,0.39597953702894073,0.3968035759912629,0.3157854573017699,0.4186443759813325
7,interest,2,120,1.244234323501587,4,1416,0.5169670895214373,0.40925784805425997,0.3866709012225563,0.40925784805425997,0.341911192008527,0.5169670895214373
7,effort,2,120,1.5527524948120117,4,1416,0.47563788539077867,0.3630512044866066,0.36673790625426733,0.3630512044866066,0.27232882407144954,0.47563788539077867
8,attention,2,120,1.1982343196868896,5,1818,0.31800455986388165,0.22391444808272198,0.15542467067219543,0.22391444808272198,0.11718622268752826,0.31800455986388165
8,interest,2,120,1.17545747756958,5,1818,0.2856128586661658,0.223322100206778,0.24778301185857798,0.223322100206778,0.13962989091277453,0.2856128586661658
8,effort,2,120,2.0047616958618164,5,1818,0.1778032132258978,0.14782077540580008,0.11557448657890859,0.14238976197478664,0.09958437236562864,0.1778032132258978
9,attention,2,120,2.25510311126709,5,2066,0.21940778688250692,0.24373631696937847,0.1831763293754607,0.24373631696937847,0.1637111553437666,0.2194077868825069
9,interest,2,120,2.25364089012146,5,2066,0.24869214026266034,0.23154113658474396,0.1771735118006448,0.23154113658474396,0.1641258309031975,0.24869214026266034
9,effort,2,120,1.903724193572998,5,2066,0.38646338240558764,0.23072465744483453,0.10323746895499233,0.23072465744483453,0.1368640868299136,0.38646338240558764
10,attention,2,120,0.27646636962890625,4,288,0.19497691228899,0.2513119981869982,0.24772821910979803,0.2075514763014763,0.1515806778276978,0.19497691228899
10,interest,2,120,0.2769815921783447,4,288,0.329161373981158,0.244256392357763,0.20392106549364614,0.19399717576790126,0.18296829249499152,0.329161373981158
10,effort,2,120,0.27692079544067383,4,288,0.17318109562240158,0.2011231884057971,0.07553921568627452,0.16880434782608694,0.09956942163838715,0.17318109562240158
11,attention,2,120,0.6135354042053223,5,669,0.1340051509671763,0.13454844006568145,0.08538269137212598,0.11191707717569788,0.07124212213800868,0.1340051509671763
11,interest,2,120,0.4551270008087158,5,669,0.2143321235726299,0.33458458458458457,0.12184130574434028,0.2938438438438438,0.10641508362438595,0.2143321235726299
11,effort,2,120,0.4460716247558594,5,669,0.24565609379618855,0.26082995445559926,0.13962952336677878,0.26082995445559926,0.1548871483827496,0.24565609379618855
12,attention,2,120,0.13807439804077148,2,86,0.7614285714285715,0.7574712643678161,0.7403174603174604,0.7574712643678161,0.7004273504273504,0.7614285714285715
12,interest,2,120,0.08951234817504883,4,86,0.2982456140350877,0.16666666666666666,0.14912280701754385,0.16666666666666666,0.1574074074074074,0.2982456140350877
12,effort,2,120,0.08034968376159668,4,86,0.4916666666666667,0.4777777777777778,0.5321637426900585,0.42962962962962964,0.45587453482190327,0.4916666666666667
17,attention,2,120,0.94346022605896,3,858,0.4407712522547763,0.33961500243083526,0.29876087271567375,0.33961500243083526,0.26027360129059834,0.4407712522547763
17,interest,2,120,0.9423274993896484,3,858,0.5207884647762057,0.44022769805857537,0.36389331784624346,0.3979749508058282,0.3420318772214003,0.5207884647762057
17,effort,2,120,0.9467003345489502,3,858,0.5545181232585575,0.4122844973040367,0.26430952054974644,0.38319952998377527,0.3030515546256637,0.5545181232585575
18,attention,2,120,0.6529006958007812,5,1434,0.4076566004276848,0.3056241956241956,0.19199488546948767,0.2593223133848134,0.21432368245103683,0.4076566004276848
18,interest,2,120,0.951387882232666,5,1434,0.3723144325553964,0.28145635866980007,0.22724653693544736,0.24545352675242546,0.21618650026801625,0.3723144325553964
