model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,all,attention,100,120,2628.881822347641,5,345974,20,0.001,False,multi,0.24217633289136842,0.2028599010689965,0.1856500117002958,0.2028599010689965,0.16691237768204711,0.24217633289136842
Hybrid,all,interest,100,120,2302.3483374118805,5,345974,20,0.001,False,multi,0.23862387696800752,0.21174877980932966,0.18813588809639123,0.21174877980932966,0.1800227830441164,0.23862387696800752
Hybrid,all,effort,100,120,1813.850268125534,5,345974,20,0.001,False,multi,0.32303801901037527,0.1880152698017002,0.14711576156490588,0.1880152698017002,0.14157440251155676,0.32303801901037527
