model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,class_type,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
Hybrid,1,attention,100,120,66.29959154129028,5,10867,20,0.2,False,multi,0.35338968403426596,0.255099787975057,0.11717300556586271,0.255099787975057,0.15222397185042622,0.35338968403426596
Hybrid,1,interest,100,120,62.96590781211853,5,10867,20,0.2,False,multi,0.3815373240664526,0.3486285220054963,0.15203694480479368,0.30223226106933965,0.1821690827420067,0.3815373240664526
Hybrid,1,effort,100,120,65.35822558403015,5,10867,20,0.2,False,multi,0.3366734136045107,0.25216423203310884,0.20164847420321172,0.25216423203310884,0.164178967479423,0.3366734136045107
Hybrid,2,attention,100,120,101.27751636505127,4,21516,20,0.2,False,multi,0.18306059772733418,0.2847064293998256,0.22656418935604233,0.2847064293998256,0.1720971202920752,0.18306059772733418
Hybrid,2,interest,100,120,94.86979556083679,5,21516,20,0.2,False,multi,0.4132689852118902,0.3861339199701269,0.325617325609486,0.3861339199701269,0.25986446284855763,0.4132689852118902
Hybrid,2,effort,100,120,123.82360529899597,5,21516,20,0.2,False,multi,0.29450044540131254,0.23905565647226182,0.1152826341532148,0.2303427851851331,0.1274267032146056,0.29450044540131254
Hybrid,3,attention,100,120,149.13069224357605,5,21048,20,0.2,False,multi,0.3108563731935017,0.2403199857380514,0.17178306266876175,0.2403199857380514,0.17255400309578312,0.3108563731935017
Hybrid,3,interest,100,120,154.64466834068298,5,21048,20,0.2,False,multi,0.28117026182759536,0.29916559656776454,0.16036513497657598,0.29916559656776454,0.18610894279775608,0.28117026182759536
Hybrid,3,effort,100,120,147.2313892841339,5,21048,20,0.2,False,multi,0.24805237698485497,0.21571171800373135,0.1310829133631609,0.21571171800373135,0.1270960451215895,0.24805237698485497
Hybrid,6,attention,100,120,177.76251578330994,3,23146,20,0.2,False,multi,0.5178309998190199,0.39937456329145055,0.32245417723495895,0.39937456329145055,0.31117460956671505,0.5178309998190199
Hybrid,6,interest,100,120,156.60972118377686,3,23146,20,0.2,False,multi,0.5003701245035471,0.3306928067422318,0.18506911683509522,0.3306928067422318,0.21990972952474844,0.5003701245035471
Hybrid,6,effort,100,120,136.47230005264282,5,23146,20,0.2,False,multi,0.26856965402556454,0.2477636893689994,0.18341930845415305,0.2477636893689994,0.16447152769508366,0.26856965402556454
Hybrid,7,attention,100,120,116.59145712852478,4,22696,20,0.2,False,multi,0.500473900202161,0.4048885127955014,0.2982041787854361,0.4048885127955014,0.3203866447531724,0.500473900202161
Hybrid,7,interest,100,120,125.22873783111572,4,22696,20,0.2,False,multi,0.6959051382964425,0.5728716418980146,0.5872531957095508,0.5728716418980146,0.5341157775294944,0.6959051382964425
Hybrid,7,effort,100,120,187.1782739162445,4,22696,20,0.2,False,multi,0.5007861028489743,0.3481904566868065,0.2788945524698378,0.3481904566868065,0.254460441636693,0.5007861028489743
Hybrid,8,attention,100,120,165.58268451690674,5,31743,20,0.2,False,multi,0.43385465414837165,0.26176053954118167,0.11220560428777596,0.24542067026013595,0.14830329848527737,0.43385465414837165
Hybrid,8,interest,100,120,194.62277579307556,5,31743,20,0.2,False,multi,0.36078025591163393,0.32314375766174197,0.1458442293415018,0.28021725815338405,0.18137636412882419,0.36078025591163393
Hybrid,8,effort,100,120,292.4319260120392,5,31743,20,0.2,False,multi,0.3658233387980542,0.2199218291819159,0.1816142614202958,0.1963027815628683,0.13172713470749503,0.3658233387980542
Hybrid,9,attention,100,120,215.25651097297668,5,34879,20,0.2,False,multi,0.2414672358558813,0.24849857508033407,0.13861776150983007,0.24849857508033407,0.12285106430485584,0.2414672358558813
Hybrid,9,interest,100,120,203.89724802970886,5,34879,20,0.2,False,multi,0.2788888760179173,0.2459138581408431,0.20681002483487596,0.2371917707622023,0.13462818815538674,0.2788888760179173
Hybrid,9,effort,100,120,229.29290795326233,5,34879,20,0.2,False,multi,0.4359590234924212,0.25135430772471484,0.24872152178422083,0.25135430772471484,0.17791164765763878,0.4359590234924212
Hybrid,10,attention,100,120,37.603209018707275,4,4620,20,0.2,False,multi,0.15845844668284195,0.24888805094687444,0.19549936628284753,0.18483576336517513,0.14149076390647922,0.15845844668284195
Hybrid,10,interest,100,120,31.159716367721558,4,4620,20,0.2,False,multi,0.34682987953013467,0.25271573213244336,0.2896438341750842,0.1846596156214464,0.1919553272364901,0.34682987953013467
Hybrid,10,effort,100,120,34.41345953941345,4,4620,20,0.2,False,multi,0.23888308170915679,0.2486053391053391,0.19237640358596,0.18606313131313132,0.13437511853934997,0.23888308170915679
Hybrid,11,attention,100,120,68.38233494758606,5,10283,20,0.2,False,multi,0.22558209722766684,0.20938138449572205,0.10977169413858352,0.15735986518019188,0.10262380680085799,0.22558209722766684
