user,label,num_classes,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
1,attention,5,0.11069299425032135,0.11001310205789441,0.07041238744984261,0.10429432581261441,0.07976602671026745,0.11069299425032135
1,interest,5,0.2167364981920376,0.23893398871086627,0.1435173661232127,0.20535120062849416,0.134188073643601,0.2167364981920376
1,effort,5,0.27415114838302923,0.22496886250353273,0.15177867580928886,0.2226722554258239,0.16523667397683964,0.27415114838302923
2,attention,4,0.19510843876164943,0.21847010707350695,0.17129768791678995,0.21352271228392777,0.14084377442415688,0.19510843876164943
2,interest,5,0.24688782674013598,0.2765814864834022,0.22911347623747344,0.26768942661589434,0.1704404357439997,0.24688782674013598
2,effort,5,0.22501991857666653,0.28179865641047674,0.1415030601005079,0.27164510708979184,0.13233254230727212,0.22501991857666653
3,attention,5,0.2485157790643005,0.16611131709811464,0.19205175628766963,0.16611131709811464,0.15860756131805234,0.2485157790643005
3,interest,5,0.314446198986178,0.2510214366278697,0.1862233415350786,0.2446163640309206,0.20755110778687272,0.314446198986178
3,effort,5,0.24457490703626683,0.20161147618085348,0.19831875703559715,0.20161147618085348,0.15337968948100883,0.24457490703626683
6,attention,3,0.33271861622553606,0.36175144468019116,0.2404650848260025,0.36175144468019116,0.24290966042446568,0.33271861622553606
6,interest,3,0.3625551830572123,0.4137656666616005,0.2796898237736003,0.4137656666616005,0.27348134252068335,0.3625551830572123
6,effort,5,0.2367383334573614,0.24253206658659332,0.12601950342450927,0.24253206658659332,0.13236529894703958,0.2367383334573614
7,attention,4,0.3936394775767534,0.4138505416825756,0.23623680427423924,0.4138505416825756,0.2748734715267924,0.3936394775767534
7,interest,4,0.48320394965881136,0.32583184401116133,0.28902163511946355,0.30653741073565993,0.2810496011074136,0.4832039496588113
7,effort,4,0.3335594048794032,0.3008667438265514,0.18450967411039498,0.269433111183463,0.1955050167949634,0.3335594048794032
8,attention,5,0.3776210009127835,0.2821942905888755,0.24128850181925188,0.2821942905888755,0.22891247346116442,0.3776210009127835
8,interest,5,0.4259480980057407,0.3416644392477448,0.25329807294567264,0.3416644392477448,0.2823715105149032,0.4259480980057407
8,effort,5,0.2939393005376454,0.2685925957724425,0.20506307972884893,0.24999077585677099,0.16673566395440562,0.2939393005376454
9,attention,5,0.25041344341594074,0.24126083910150023,0.1479805694784901,0.24126083910150023,0.1645949871254555,0.25041344341594074
