user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
all,attention,10,120,92.25536513328552,5,20751,0.2226906831115162,0.20131512488093914,0.21159608558013532,0.20131512488093914,0.18244868531754888,0.22269068311151616
all,interest,10,120,92.58011317253113,5,20751,0.207969265627729,0.1900282196071388,0.18309775170736228,0.1900282196071388,0.1730821563666314,0.20796926562772905
all,effort,10,120,92.66642117500305,5,20751,0.3040838994279823,0.20043713314883158,0.2047136398658178,0.20043713314883158,0.17955891949157443,0.3040838994279823
