model,user,label,n_epochs,window_size,duration,num_classes,size,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
EEGNet,all,attention,100,120,473.2756977081299,5,89219,0.22439510790559608,0.19639805804219845,0.16770722445151165,0.19639805804219845,0.14471433732917272,0.22439510790559608
EEGNet,all,interest,100,120,359.56205797195435,5,89219,0.22650473910889204,0.207178399204086,0.1716258324220497,0.207178399204086,0.15098299382490526,0.22650473910889204
EEGNet,all,effort,100,120,501.74749851226807,5,89219,0.347267567915173,0.19767489269807575,0.16775182746966705,0.19767489269807575,0.13942283846111211,0.347267567915173
