model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
EEGNet,all,attention,100,120,102.64305067062378,5,20751,5,0.2,False,0.2129645251807169,0.19362941781468573,0.1893544525360788,0.19362941781468573,0.1364595869471263,0.2129645251807169
EEGNet,all,interest,100,120,99.44437551498413,5,20751,5,0.2,False,0.25555986417766113,0.21211204003372514,0.18820254135094588,0.21211204003372514,0.15550683179731467,0.25555986417766113
EEGNet,all,effort,100,120,102.19849681854248,5,20751,5,0.2,False,0.35257531492312566,0.19857407431786783,0.1805386907639834,0.19857407431786783,0.12537937708568136,0.35257531492312566
