model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
EEGNet,1,attention,100,120,7.0639355182647705,5,683,5,0.2,False,0.3750622814631459,0.2715582608964962,0.20956712085909862,0.2278520370064488,0.1912871829401668,0.3750622814631459
EEGNet,1,interest,100,120,8.66811752319336,5,683,5,0.2,False,0.3963700066372876,0.3143677267223779,0.23429920960241182,0.2552011700558212,0.20142868524244664,0.3963700066372876
EEGNet,1,effort,100,120,5.154135465621948,5,683,5,0.2,False,0.24202811804272467,0.22726130902687594,0.2547394743981271,0.18922295058585914,0.17576095431096253,0.24202811804272467
EEGNet,2,attention,100,120,10.218550443649292,4,1262,5,0.2,False,0.24952093181209775,0.28899058314234355,0.22540216369282357,0.2167429373567577,0.15968161341492504,0.24952093181209775
EEGNet,2,interest,100,120,7.867827415466309,5,1262,5,0.2,False,0.32174322545528905,0.28136618252543283,0.20267184021845797,0.19269409019108338,0.1760392000982382,0.32174322545528905
EEGNet,2,effort,100,120,9.725675106048584,5,1262,5,0.2,False,0.26014654666140197,0.23131867880527573,0.23023513479623198,0.22408359322044605,0.17161698618788584,0.26014654666140197
EEGNet,3,attention,100,120,19.399651527404785,5,1174,5,0.2,False,0.284885768921095,0.24566167024522007,0.252149257255947,0.24566167024522007,0.16952419113573405,0.284885768921095
EEGNet,3,interest,100,120,22.92936372756958,5,1174,5,0.2,False,0.2996297888766587,0.30234758443621795,0.2524264965130151,0.2919280040166375,0.20291080718714669,0.2996297888766587
EEGNet,3,effort,100,120,14.464765071868896,5,1174,5,0.2,False,0.2596950546790599,0.20266081875277236,0.16827029160960477,0.20266081875277236,0.14089995266568228,0.2596950546790599
EEGNet,6,attention,100,120,21.1069974899292,3,1391,5,0.2,False,0.4689216372537361,0.35298261607910614,0.3599706805579963,0.35298261607910614,0.30023925680409125,0.4689216372537361
EEGNet,6,interest,100,120,16.577970266342163,3,1391,5,0.2,False,0.4407579197254995,0.3223637332518069,0.28562705309863323,0.3223637332518069,0.24399912116612715,0.4407579197254995
EEGNet,6,effort,100,120,14.89287281036377,5,1391,5,0.2,False,0.29986669837040203,0.23478884358971092,0.19255875356206772,0.20835759562620487,0.17058663097189813,0.29986669837040203
EEGNet,7,attention,100,120,11.372677564620972,4,1416,5,0.2,False,0.4815577013946579,0.4143615120837834,0.36769101753127165,0.3957127226016606,0.3445863624287152,0.4815577013946579
EEGNet,7,interest,100,120,12.282510757446289,4,1416,5,0.2,False,0.5603938954482433,0.4628779774368833,0.35870325337662184,0.3844742456021755,0.36063542253039815,0.5603938954482433
EEGNet,7,effort,100,120,20.79785180091858,4,1416,5,0.2,False,0.4163683243820874,0.33668911407249025,0.27107719617009385,0.3205002525564259,0.2556550539970748,0.4163683243820874
EEGNet,8,attention,100,120,17.702749013900757,5,1818,5,0.2,False,0.41388125585494623,0.24542611839046696,0.1843342178591545,0.20376476889282485,0.16837109762056385,0.41388125585494623
EEGNet,8,interest,100,120,18.900198698043823,5,1818,5,0.2,False,0.31345770245068094,0.2895632126470611,0.23919453053836032,0.2445825908838856,0.18408703802644616,0.31345770245068094
EEGNet,8,effort,100,120,19.028753757476807,5,1818,5,0.2,False,0.2778478362533063,0.18259981123274258,0.18635394586938345,0.17294901758194894,0.14566802535283543,0.2778478362533063
EEGNet,9,attention,100,120,20.900383472442627,5,2066,5,0.2,False,0.2766630400800414,0.2376493641770062,0.2169412916798049,0.21724982762864448,0.17030116407208049,0.2766630400800414
EEGNet,9,interest,100,120,19.253857851028442,5,2066,5,0.2,False,0.27491120890642096,0.20053092075990947,0.1706173841419107,0.18395133784144507,0.1516984171909668,0.27491120890642096
EEGNet,9,effort,100,120,20.802311420440674,5,2066,5,0.2,False,0.38192188953270123,0.21196105165543394,0.19370698477966192,0.19442737347468667,0.15522075496752272,0.3819218895327013
