model,user,label,n_epochs,window_size,duration,num_classes,size,multiple,sigma,bandpass,accuracy,bal_acc,precision,recall,f1_score_macro,f1_score_micro
EEGNet,all,attention,100,120,87.24981999397278,5,20751,5,0.2,True,0.209781052198127,0.1898204551246311,0.17228954450896888,0.1898204551246311,0.14656677683500896,0.209781052198127
EEGNet,all,interest,100,120,94.94776320457458,5,20751,5,0.2,True,0.24673860509143894,0.20560423131660038,0.1850356162383763,0.20560423131660038,0.13968141871048778,0.24673860509143894
EEGNet,all,effort,100,120,87.52560687065125,5,20751,5,0.2,True,0.35475522095480205,0.1973753333947871,0.16308955483660975,0.1973753333947871,0.12482427011706163,0.35475522095480205
